    ,symbol ,name                                   ,sector                 ,sub_sector                                              ,hq                                            ,date_added  ,founded        ,market_cap    ,mkh
161 ,OXY    ,Occidental Petroleum                   ,Energy                 ,Oil & Gas Exploration & Production                      ,"Houston, Texas"                              ,1957-03-04  ,1920           ,  53739068570 ,53.7B
162 ,MNST   ,Monster Beverage                       ,Consumer Staples       ,Soft Drinks & Non-alcoholic Beverages                   ,"Corona, California"                          ,2012-06-28  ,2012           ,  53294906800 ,53.3B
163 ,EW     ,Edwards Lifesciences                   ,Health Care            ,Health Care Equipment                                   ,"Irvine, California"                          ,2011-04-01  ,1958           ,  52426200000 ,52.4B
164 ,COF    ,Capital One                            ,Financials             ,Consumer Finance                                        ,"Tysons Corner, Virginia"                     ,1998-07-01  ,1994           ,  51612939080 ,51.6B
165 ,HLT    ,Hilton Worldwide                       ,Consumer Discretionary ,"Hotels, Resorts & Cruise Lines"                        ,"Tysons Corner, Virginia"                     ,2017-06-19  ,1919           ,  51479470480 ,51.5B
166 ,CPRT   ,Copart                                 ,Industrials            ,Diversified Support Services                            ,"Dallas, Texas"                               ,2018-07-02  ,1982           ,  51261614460 ,51.3B
167 ,NSC    ,Norfolk Southern Railway               ,Industrials            ,Rail Transportation                                     ,"Atlanta, Georgia"                            ,1957-03-04  ,1881/1894      ,  50814836020 ,50.8B
168 ,WMB    ,Williams Companies                     ,Energy                 ,Oil & Gas Storage & Transportation                      ,"Tulsa, Oklahoma"                             ,1975-03-31  ,1908           ,  50419687500 ,50.4B
169 ,VLO    ,Valero Energy                          ,Energy                 ,Oil & Gas Refining & Marketing                          ,"San Antonio, Texas"                          ,2002-12-20  ,1980           ,  50226585600 ,50.2B
170 ,MCHP   ,Microchip Technology                   ,Information Technology ,Semiconductors                                          ,"Chandler, Arizona"                           ,2007-09-07  ,1989           ,  50214947580 ,50.2B
171 ,AFL    ,Aflac                                  ,Financials             ,Life & Health Insurance                                 ,"Columbus, Georgia"                           ,1999-05-28  ,1955           ,  49759200540 ,49.8B
172 ,AIG    ,American International Group           ,Financials             ,Multi-line Insurance                                    ,"New York City, New York"                     ,1980-03-31  ,1919           ,  49250802280 ,49.3B
173 ,SPG    ,Simon Property Group                   ,Real Estate            ,Retail REITs                                            ,"Indianapolis, Indiana"                       ,2002-06-26  ,2003           ,  49144630080 ,49.1B
174 ,MET    ,MetLife                                ,Financials             ,Life & Health Insurance                                 ,"New York City, New York"                     ,2000-12-11  ,1868           ,  49110154380 ,49.1B
175 ,ROST   ,Ross Stores                            ,Consumer Discretionary ,Apparel Retail                                          ,"Dublin, California"                          ,2009-12-21  ,1982           ,  48478686060 ,48.5B
176 ,DLR    ,Digital Realty                         ,Real Estate            ,Data Center REITs                                       ,"Austin, Texas"                               ,2016-05-18  ,2004           ,  48400298760 ,48.4B
177 ,PSA    ,Public Storage                         ,Real Estate            ,Self-Storage REITs                                      ,"Glendale, California"                        ,2005-08-19  ,1972           ,  48261114000 ,48.3B
178 ,AZO    ,AutoZone                               ,Consumer Discretionary ,Automotive Retail                                       ,"Memphis, Tennessee"                          ,1997-01-02  ,1979           ,  48192298320 ,48.2B
179 ,TRV    ,Travelers Companies (The)              ,Financials             ,Property & Casualty Insurance                           ,"New York City, New York"                     ,2002-08-21  ,1853           ,  47953424130 ,48.0B
180 ,SRE    ,Sempra Energy                          ,Utilities              ,Multi-Utilities                                         ,"San Diego, California"                       ,2017-03-17  ,1998           ,  47887456820 ,47.9B
181 ,TFC    ,Truist                                 ,Financials             ,Regional Banks                                          ,"Charlotte, North Carolina"                   ,1997-12-04  ,1872           ,  47743408000 ,47.7B
182 ,JCI    ,Johnson Controls                       ,Industrials            ,Building Products                                       ,"Cork, Ireland"                               ,2010-08-27  ,1885           ,  47527841800 ,47.5B
183 ,F      ,Ford Motor Company                     ,Consumer Discretionary ,Automobile Manufacturers                                ,"Dearborn, Michigan"                          ,1957-03-04  ,1903           ,  47489243900 ,47.5B
184 ,NEM    ,Newmont                                ,Materials              ,Gold                                                    ,"Denver, Colorado"                            ,1969-06-30  ,1921           ,  46875141000 ,46.9B
185 ,AEP    ,American Electric Power                ,Utilities              ,Electric Utilities                                      ,"Columbus, Ohio"                              ,1957-03-04  ,1906           ,  46602855932 ,46.6B
186 ,DXCM   ,Dexcom                                 ,Health Care            ,Health Care Equipment                                   ,"San Diego, California"                       ,2020-05-12  ,1999           ,  46489259600 ,46.5B
187 ,OKE    ,ONEOK                                  ,Energy                 ,Oil & Gas Storage & Transportation                      ,"Tulsa, Oklahoma"                             ,2010-03-15  ,1906           ,  46481647080 ,46.5B
188 ,COR    ,Cencora                                ,Health Care            ,Health Care Distributors                                ,"Conshohocken, Pennsylvania"                  ,2001-08-30  ,1985           ,  46396524240 ,46.4B
189 ,GEV    ,GE Vernova                             ,Industrials            ,Heavy Electrical Equipment                              ,"Cambridge, Massachusetts"                    ,2024-04-02  ,2024           ,  46109403665 ,46.1B
190 ,DHI    ,DR Horton                              ,Consumer Discretionary ,Homebuilding                                            ,"Arlington, Texas"                            ,2005-06-22  ,1978           ,  45958782720 ,46.0B
191 ,KDP    ,Keurig Dr Pepper                       ,Consumer Staples       ,Soft Drinks & Non-alcoholic Beverages                   ,"Burlington, Massachusetts"                   ,2022-06-21  ,1981           ,  45858933100 ,45.9B
192 ,TEL    ,TE Connectivity                        ,Information Technology ,Electronic Manufacturing Services                       ,"Schaffhausen, Switzerland"                   ,2011-10-17  ,2007           ,  45799609240 ,45.8B
193 ,STZ    ,Constellation Brands                   ,Consumer Staples       ,Distillers & Vintners                                   ,"Victor, New York"                            ,2005-07-01  ,1945           ,  45776324620 ,45.8B
194 ,KMB    ,Kimberly-Clark                         ,Consumer Staples       ,Household Products                                      ,"Irving, Texas"                               ,1957-03-04  ,1872           ,  45674575850 ,45.7B
195 ,FTNT   ,Fortinet                               ,Information Technology ,Systems Software                                        ,"Sunnyvale, California"                       ,2018-10-11  ,2000           ,  45637656120 ,45.6B
196 ,HES    ,Hess Corporation                       ,Energy                 ,Integrated Oil & Gas                                    ,"New York City, New York"                     ,1984-05-31  ,1919           ,  45600132000 ,45.6B
197 ,ADSK   ,Autodesk                               ,Information Technology ,Application Software                                    ,"San Francisco, California"                   ,1989-12-01  ,1982           ,  45573174000 ,45.6B
198 ,O      ,Realty Income                          ,Real Estate            ,Retail REITs                                            ,"San Diego, California"                       ,2015-04-07  ,1969           ,  45489233760 ,45.5B
199 ,SMCI   ,Supermicro                             ,Information Technology ,"Technology Hardware, Storage & Peripherals"            ,"San Jose, California"                        ,2024-03-18  ,1993           ,  44948554965 ,44.9B
200 ,PAYX   ,Paychex                                ,Industrials            ,Human Resource & Employment Services                    ,"Penfield, New York"                          ,1998-10-01  ,1971           ,  44610214590 ,44.6B
201 ,GWW    ,W. W. Grainger                         ,Industrials            ,Industrial Machinery & Supplies & Components            ,"Lake Forest, Illinois"                       ,1981-06-30  ,1927           ,  44176149952 ,44.2B
202 ,BK     ,Bank of New York Mellon                ,Financials             ,Asset Management & Custody Banks                        ,"New York City, New York"                     ,1995-03-31  ,1784           ,  43941668160 ,43.9B
203 ,KMI    ,Kinder Morgan                          ,Energy                 ,Oil & Gas Storage & Transportation                      ,"Houston, Texas"                              ,2012-05-25  ,1997           ,  43921530200 ,43.9B
204 ,CCI    ,Crown Castle                           ,Real Estate            ,Telecom Tower REITs                                     ,"Houston, Texas"                              ,2012-03-14  ,1994           ,  43565275980 ,43.6B
205 ,D      ,Dominion Energy                        ,Utilities              ,Multi-Utilities                                         ,"Richmond, Virginia"                          ,2016-11-30  ,1983           ,  43193012830 ,43.2B
206 ,ALL    ,Allstate                               ,Financials             ,Property & Casualty Insurance                           ,"Northbrook, Illinois"                        ,1995-07-13  ,1931           ,  42623454400 ,42.6B
207 ,HUM    ,Humana                                 ,Health Care            ,Managed Health Care                                     ,"Louisville, Kentucky"                        ,2012-12-10  ,1961           ,  42388636770 ,42.4B
208 ,FIS    ,Fidelity National Information Services ,Financials             ,Transaction & Payment Processing Services               ,"Jacksonville, Florida"                       ,2006-11-10  ,1968           ,  42180513330 ,42.2B
209 ,EL     ,Estée Lauder Companies (The)           ,Consumer Staples       ,Personal Care Products                                  ,"New York City, New York"                     ,2006-01-05  ,1946           ,  42167119814 ,42.2B
210 ,AMP    ,Ameriprise Financial                   ,Financials             ,Asset Management & Custody Banks                        ,"Minneapolis, Minnesota"                      ,2005-10-03  ,1894           ,  41917094298 ,41.9B
211 ,LEN    ,Lennar                                 ,Consumer Discretionary ,Homebuilding                                            ,"Miami, Florida"                              ,2005-10-04  ,1954           ,  41904576639 ,41.9B
212 ,URI    ,United Rentals                         ,Industrials            ,Trading Companies & Distributors                        ,"Stamford, Connecticut"                       ,2014-09-20  ,1997           ,  41817125402 ,41.8B
213 ,IDXX   ,Idexx Laboratories                     ,Health Care            ,Health Care Equipment                                   ,"Westbrook, Maine"                            ,2017-01-05  ,1983           ,  41805691260 ,41.8B
214 ,LHX    ,L3Harris                               ,Industrials            ,Aerospace & Defense                                     ,"Melbourne, Florida"                          ,2008-09-22  ,2019           ,  41771329600 ,41.8B
215 ,PRU    ,Prudential Financial                   ,Financials             ,Life & Health Insurance                                 ,"Newark, New Jersey"                          ,2002-07-22  ,1875           ,  41033700000 ,41.0B
216 ,KHC    ,Kraft Heinz                            ,Consumer Staples       ,Packaged Foods & Meats                                  ,"Chicago, Illinois; Pittsburgh, Pennsylvania" ,2015-07-06  ,2015           ,  40861195000 ,40.9B
217 ,AME    ,Ametek                                 ,Industrials            ,Electrical Components & Equipment                       ,"Berwyn, Pennsylvania"                        ,2013-09-23  ,1930           ,  39935519100 ,39.9B
218 ,CHTR   ,Charter Communications                 ,Communication Services ,Cable & Satellite                                       ,"Stamford, Connecticut"                       ,2016-09-08  ,1993           ,  39871824900 ,39.9B
219 ,PWR    ,Quanta Services                        ,Industrials            ,Construction & Engineering                              ,"Houston, Texas"                              ,2009-07-01  ,1997           ,  39753125280 ,39.8B
220 ,DOW    ,Dow Inc.                               ,Materials              ,Commodity Chemicals                                     ,"Midland, Michigan"                           ,2019-04-01  ,2019           ,  39485016900 ,39.5B
221 ,RCL    ,Royal Caribbean Group                  ,Consumer Discretionary ,"Hotels, Resorts & Cruise Lines"                        ,"Miami, Florida"                              ,2014-12-05  ,1997           ,  39423293310 ,39.4B
222 ,IQV    ,IQVIA                                  ,Health Care            ,Life Sciences Tools & Services                          ,"Durham, North Carolina"                      ,2017-08-29  ,1982           ,  39265922000 ,39.3B
223 ,PCG    ,PG&E Corporation                       ,Utilities              ,Multi-Utilities                                         ,"San Francisco, California"                   ,2022-10-03  ,1905           ,  39131399582 ,39.1B
224 ,OTIS   ,Otis Worldwide                         ,Industrials            ,Industrial Machinery & Supplies & Components            ,"Farmington, Connecticut"                     ,2020-04-03  ,2020           ,  39017169500 ,39.0B
225 ,YUM    ,Yum! Brands                            ,Consumer Discretionary ,Restaurants                                             ,"Louisville, Kentucky"                        ,1997-10-06  ,1997           ,  38586400320 ,38.6B
226 ,HSY    ,Hershey's                              ,Consumer Staples       ,Packaged Foods & Meats                                  ,"Hershey, Pennsylvania"                       ,1957-03-04  ,1894           ,  38546957942 ,38.5B
227 ,A      ,Agilent Technologies                   ,Health Care            ,Life Sciences Tools & Services                          ,"Santa Clara, California"                     ,2000-06-05  ,1999           ,  38544545710 ,38.5B
228 ,MSCI   ,MSCI                                   ,Financials             ,Financial Exchanges & Data                              ,"New York City, New York"                     ,2018-04-04  ,1969           ,  38382540416 ,38.4B
229 ,MPWR   ,Monolithic Power Systems               ,Information Technology ,Semiconductors                                          ,"Kirkland, Washington"                        ,2021-02-12  ,1997           ,  38157874560 ,38.2B
230 ,LULU   ,Lululemon Athletica                    ,Consumer Discretionary ,"Apparel, Accessories & Luxury Goods"                   ,"Vancouver, Canada"                           ,2023-10-18  ,1998           ,  38128543440 ,38.1B
231 ,GIS    ,General Mills                          ,Consumer Staples       ,Packaged Foods & Meats                                  ,"Golden Valley, Minnesota"                    ,1957-03-04  ,1856           ,  37813492020 ,37.8B
232 ,ODFL   ,Old Dominion                           ,Industrials            ,Cargo Ground Transportation                             ,"Thomasville, North Carolina"                 ,2019-12-09  ,1934           ,  37788034350 ,37.8B
233 ,VRSK   ,Verisk                                 ,Industrials            ,Research & Consulting Services                          ,"Jersey City, New Jersey"                     ,2015-10-08  ,1971           ,  37761792250 ,37.8B
234 ,ACGL   ,Arch Capital Group                     ,Financials             ,Property & Casualty Insurance                           ,"Hamilton, Bermuda"                           ,2022-11-01  ,1995           ,  37391692520 ,37.4B
235 ,KR     ,Kroger                                 ,Consumer Staples       ,Food Retail                                             ,"Cincinnati, Ohio"                            ,1957-03-04  ,1883           ,  37376555150 ,37.4B
236 ,NUE    ,Nucor                                  ,Materials              ,Steel                                                   ,"Charlotte, North Carolina"                   ,1985-04-30  ,1940           ,  37266207660 ,37.3B
237 ,CMI    ,Cummins                                ,Industrials            ,Construction Machinery & Heavy Transportation Equipment ,"Columbus, Indiana"                           ,1965-03-31  ,1919           ,  37163126000 ,37.2B
238 ,CNC    ,Centene Corporation                    ,Health Care            ,Managed Health Care                                     ,"St. Louis, Missouri"                         ,2016-03-30  ,1984           ,  36961014491 ,37.0B
239 ,IR     ,Ingersoll Rand                         ,Industrials            ,Industrial Machinery & Supplies & Components            ,"Davidson, North Carolina"                    ,2020-03-03  ,1859           ,  36865616160 ,36.9B
240 ,PEG    ,Public Service Enterprise Group        ,Utilities              ,Electric Utilities                                      ,"Newark, New Jersey"                          ,1957-03-04  ,1903           ,  36693553600 ,36.7B
241 ,EA     ,Electronic Arts                        ,Communication Services ,Interactive Home Entertainment                          ,"Redwood City, California"                    ,2002-07-22  ,1982           ,  36411345510 ,36.4B
242 ,FAST   ,Fastenal                               ,Industrials            ,Trading Companies & Distributors                        ,"Winona, Minnesota"                           ,2008-09-15  ,1967           ,  36225048690 ,36.2B
243 ,EXC    ,Exelon                                 ,Utilities              ,Electric Utilities                                      ,"Chicago, Illinois"                           ,1957-03-04  ,2000           ,  36211086300 ,36.2B
244 ,CTVA   ,Corteva                                ,Materials              ,Fertilizers & Agricultural Chemicals                    ,"Indianapolis, Indiana"                       ,2019-06-03  ,2019           ,  35991840640 ,36.0B
245 ,SYY    ,Sysco                                  ,Consumer Staples       ,Food Distributors                                       ,"Houston, Texas"                              ,1986-12-31  ,1969           ,  35715269040 ,35.7B
246 ,HPQ    ,HP Inc.                                ,Information Technology ,"Technology Hardware, Storage & Peripherals"            ,"Palo Alto, California"                       ,1974-12-31  ,1939           ,  35541299200 ,35.5B
247 ,KVUE   ,Kenvue                                 ,Consumer Staples       ,Personal Care Products                                  ,"Skillman, New Jersey"                        ,2023-08-25  ,2022           ,  35366627509 ,35.4B
248 ,FANG   ,Diamondback Energy                     ,Energy                 ,Oil & Gas Exploration & Production                      ,"Midland, Texas"                              ,2018-12-03  ,2007           ,  34539882480 ,34.5B
249 ,GEHC   ,GE HealthCare                          ,Health Care            ,Health Care Equipment                                   ,"Chicago, Illinois"                           ,2023-01-04  ,1994           ,  34116221006 ,34.1B
250 ,NDAQ   ,"Nasdaq, Inc."                         ,Financials             ,Financial Exchanges & Data                              ,"New York City, New York"                     ,2008-10-22  ,1971           ,  34026977660 ,34.0B
251 ,HWM    ,Howmet Aerospace                       ,Industrials            ,Aerospace & Defense                                     ,"Pittsburgh, Pennsylvania"                    ,2016-10-21  ,1888           ,  33952661940 ,34.0B
252 ,IT     ,Gartner                                ,Information Technology ,IT Consulting & Other Services                          ,"Stamford, Connecticut"                       ,2017-04-05  ,1979           ,  33679992425 ,33.7B
253 ,MLM    ,Martin Marietta Materials              ,Materials              ,Construction Materials                                  ,"Raleigh, North Carolina"                     ,2014-07-02  ,1993           ,  33651234386 ,33.7B
254 ,XYL    ,Xylem Inc.                             ,Industrials            ,Industrial Machinery & Supplies & Components            ,"White Plains, New York"                      ,2011-11-01  ,2011           ,  33583758440 ,33.6B
255 ,DD     ,DuPont                                 ,Materials              ,Specialty Chemicals                                     ,"Wilmington, Delaware"                        ,2019-04-02  ,2017           ,  33306164640 ,33.3B
256 ,CTSH   ,Cognizant                              ,Information Technology ,IT Consulting & Other Services                          ,"Teaneck, New Jersey"                         ,2006-11-17  ,1994           ,  33297417030 ,33.3B
257 ,LVS    ,Las Vegas Sands                        ,Consumer Discretionary ,Casinos & Gaming                                        ,"Las Vegas, Nevada"                           ,2019-10-03  ,1988           ,  32871473640 ,32.9B
258 ,BIIB   ,Biogen                                 ,Health Care            ,Biotechnology                                           ,"Cambridge, Massachusetts"                    ,2003-11-13  ,1978           ,  32867066780 ,32.9B
259 ,FICO   ,Fair Isaac                             ,Information Technology ,Application Software                                    ,"Bozeman, Montana"                            ,2023-03-20  ,1956           ,  32502988097 ,32.5B
260 ,VMC    ,Vulcan Materials Company               ,Materials              ,Construction Materials                                  ,"Birmingham, Alabama"                         ,1999-06-30  ,1909           ,  32354129280 ,32.4B
261 ,BKR    ,Baker Hughes                           ,Energy                 ,Oil & Gas Equipment & Services                          ,"Houston, Texas"                              ,2017-07-07  ,2017           ,  32175455520 ,32.2B
262 ,EXR    ,Extra Space Storage                    ,Real Estate            ,Self-Storage REITs                                      ,"Salt Lake City, Utah"                        ,2016-01-19  ,1977           ,  32031875250 ,32.0B
263 ,GLW    ,Corning Inc.                           ,Information Technology ,Electronic Components                                   ,"Corning, New York"                           ,1995-02-27  ,1851           ,  31994719650 ,32.0B
264 ,ON     ,ON Semiconductor                       ,Information Technology ,Semiconductors                                          ,"Phoenix, Arizona"                            ,2022-06-21  ,1999           ,  31828563360 ,31.8B
265 ,DAL    ,Delta Air Lines                        ,Industrials            ,Passenger Airlines                                      ,"Atlanta, Georgia"                            ,2013-09-11  ,1929           ,  31807477770 ,31.8B
266 ,ED     ,Consolidated Edison                    ,Utilities              ,Multi-Utilities                                         ,"New York City, New York"                     ,1957-03-04  ,1823           ,  31730361250 ,31.7B
267 ,VST    ,Vistra                                 ,Utilities              ,Electric Utilities                                      ,"Irving, Texas"                               ,2024-05-08  ,2016           ,  31695301200 ,31.7B
268 ,FSLR   ,First Solar                            ,Information Technology ,Semiconductors                                          ,"Tempe, Arizona"                              ,2022-12-19  ,1999           ,  31526785730 ,31.5B
269 ,LYB    ,LyondellBasell                         ,Materials              ,Specialty Chemicals                                     ,"Rotterdam, Netherlands"                      ,2012-09-05  ,2007           ,  31367167260 ,31.4B
270 ,CSGP   ,CoStar Group                           ,Real Estate            ,Real Estate Services                                    ,"Washington, D.C."                            ,2022-09-19  ,1987           ,  31323914820 ,31.3B
271 ,GRMN   ,Garmin                                 ,Consumer Discretionary ,Consumer Electronics                                    ,"Schaffhausen, Switzerland"                   ,2012-12-12  ,1989           ,  31024438560 ,31.0B
272 ,RMD    ,ResMed                                 ,Health Care            ,Health Care Equipment                                   ,"San Diego, California"                       ,2017-07-26  ,1989           ,  30876913260 ,30.9B
273 ,MTD    ,Mettler Toledo                         ,Health Care            ,Life Sciences Tools & Services                          ,"Columbus, Ohio"                              ,2016-09-06  ,1945           ,  30784556360 ,30.8B
274 ,XEL    ,Xcel Energy                            ,Utilities              ,Multi-Utilities                                         ,"Minneapolis, Minnesota"                      ,1957-03-04  ,1909           ,  30582370560 ,30.6B
275 ,HAL    ,Halliburton                            ,Energy                 ,Oil & Gas Equipment & Services                          ,"Houston, Texas"                              ,1957-03-04  ,1919           ,  30525178480 ,30.5B
276 ,DFS    ,Discover Financial                     ,Financials             ,Consumer Finance                                        ,"Riverwoods, Illinois"                        ,2007-07-02  ,1985           ,  30507922260 ,30.5B
277 ,ADM    ,Archer-Daniels-Midland                 ,Consumer Staples       ,Agricultural Products & Services                        ,"Chicago, Illinois"                           ,1957-03-04  ,1902           ,  30402992620 ,30.4B
278 ,PPG    ,PPG Industries                         ,Materials              ,Specialty Chemicals                                     ,"Pittsburgh, Pennsylvania"                    ,1957-03-04  ,1883           ,  30384165000 ,30.4B
279 ,CDW    ,CDW                                    ,Information Technology ,Technology Distributors                                 ,"Lincolnshire, Illinois"                      ,2019-09-23  ,1984           ,  30153535280 ,30.2B
280 ,TSCO   ,Tractor Supply                         ,Consumer Discretionary ,Other Specialty Retail                                  ,"Brentwood, Tennessee"                        ,2014-01-24  ,1938           ,  30003523000 ,30.0B
281 ,DVN    ,Devon Energy                           ,Energy                 ,Oil & Gas Exploration & Production                      ,"Oklahoma City, Oklahoma"                     ,2000-08-30  ,1971           ,  29887280000 ,29.9B
282 ,HIG    ,Hartford (The)                         ,Financials             ,Property & Casualty Insurance                           ,"Hartford, Connecticut"                       ,1957-03-04  ,1810           ,  29406919650 ,29.4B
283 ,VICI   ,Vici Properties                        ,Real Estate            ,Hotel & Resort REITs                                    ,"New York City, New York"                     ,2022-06-08  ,2017           ,  29355085200 ,29.4B
284 ,ROK    ,Rockwell Automation                    ,Industrials            ,Electrical Components & Equipment                       ,"Milwaukee, Wisconsin"                        ,2000-03-12  ,1903           ,  29081025270 ,29.1B
285 ,WAB    ,Wabtec                                 ,Industrials            ,Construction Machinery & Heavy Transportation Equipment ,"Pittsburgh, Pennsylvania"                    ,2019-02-27  ,1999           ,  28720769550 ,28.7B
286 ,EFX    ,Equifax                                ,Industrials            ,Research & Consulting Services                          ,"Atlanta, Georgia"                            ,1997-06-19  ,1899           ,  28486154950 ,28.5B
287 ,EIX    ,Edison International                   ,Utilities              ,Electric Utilities                                      ,"Rosemead, California"                        ,1957-03-04  ,1886           ,  28321668330 ,28.3B
288 ,ANSS   ,Ansys                                  ,Information Technology ,Application Software                                    ,"Canonsburg, Pennsylvania"                    ,2017-06-19  ,1969           ,  28209249000 ,28.2B
289 ,AVB    ,AvalonBay Communities                  ,Real Estate            ,Multi-Family Residential REITs                          ,"Arlington, Virginia"                         ,2007-01-10  ,1978           ,  28039079200 ,28.0B
290 ,DG     ,Dollar General                         ,Consumer Staples       ,Consumer Staples Merchandise Retail                     ,"Goodlettsville, Tennessee"                   ,2012-12-03  ,1939           ,  27876089150 ,27.9B
291 ,TTWO   ,Take-Two Interactive                   ,Communication Services ,Interactive Home Entertainment                          ,"New York City, New York"                     ,2018-03-19  ,1993           ,  27166236350 ,27.2B
292 ,TRGP   ,Targa Resources                        ,Energy                 ,Oil & Gas Storage & Transportation                      ,"Houston, Texas"                              ,2022-10-12  ,2005           ,  26849928700 ,26.8B
293 ,CBRE   ,CBRE Group                             ,Real Estate            ,Real Estate Services                                    ,"Dallas, Texas"                               ,2006-11-10  ,1906           ,  26736643360 ,26.7B
294 ,HPE    ,Hewlett Packard Enterprise             ,Information Technology ,"Technology Hardware, Storage & Peripherals"            ,"Houston, Texas"                              ,2015-11-02  ,2015           ,  26721215200 ,26.7B
295 ,EBAY   ,eBay                                   ,Consumer Discretionary ,Broadline Retail                                        ,"San Jose, California"                        ,2002-07-22  ,1995           ,  26606000000 ,26.6B
296 ,DECK   ,Deckers Brands                         ,Consumer Discretionary ,Footwear                                                ,"Goleta, California"                          ,2024-03-18  ,1973           ,  26519481025 ,26.5B
297 ,CHD    ,Church & Dwight                        ,Consumer Staples       ,Household Products                                      ,"Ewing, New Jersey"                           ,2015-12-29  ,1847           ,  26391367390 ,26.4B
298 ,WTW    ,Willis Towers Watson                   ,Financials             ,Insurance Brokers                                       ,"London, United Kingdom"                      ,2016-01-05  ,2016           ,  26296121560 ,26.3B
299 ,NTAP   ,NetApp                                 ,Information Technology ,"Technology Hardware, Storage & Peripherals"            ,"San Jose, California"                        ,1999-06-25  ,1992           ,  25894122190 ,25.9B
300 ,FTV    ,Fortive                                ,Industrials            ,Industrial Machinery & Supplies & Components            ,"Everett, Washington"                         ,2016-07-01  ,2016           ,  25641792360 ,25.6B
301 ,IRM    ,Iron Mountain                          ,Real Estate            ,Other Specialized REITs                                 ,"Boston, Massachusetts"                       ,2009-01-06  ,1951           ,  25599304890 ,25.6B
302 ,TROW   ,T. Rowe Price                          ,Financials             ,Asset Management & Custody Banks                        ,"Baltimore, Maryland"                         ,2019-07-29  ,1937           ,  25565617000 ,25.6B
303 ,BRO    ,Brown & Brown                          ,Financials             ,Insurance Brokers                                       ,"Daytona Beach, Florida"                      ,2021-09-20  ,1939           ,  25564015380 ,25.6B
304 ,WEC    ,WEC Energy Group                       ,Utilities              ,Electric Utilities                                      ,"Milwaukee, Wisconsin"                        ,2008-10-31  ,1896           ,  25186884250 ,25.2B
305 ,WDC    ,Western Digital                        ,Information Technology ,"Technology Hardware, Storage & Peripherals"            ,"San Jose, California"                        ,2009-07-01  ,1970           ,  24985693000 ,25.0B
306 ,AWK    ,American Water Works                   ,Utilities              ,Water Utilities                                         ,"Camden, New Jersey"                          ,2016-03-04  ,1886           ,  24921758160 ,24.9B
307 ,EQR    ,Equity Residential                     ,Real Estate            ,Multi-Family Residential REITs                          ,"Chicago, Illinois"                           ,2001-12-03  ,1969           ,  24841614600 ,24.8B
308 ,IFF    ,International Flavors & Fragrances     ,Materials              ,Specialty Chemicals                                     ,"New York City, New York"                     ,1976-03-31  ,1958           ,  24809903160 ,24.8B
309 ,VLTO   ,Veralto                                ,Industrials            ,Environmental & Facilities Services                     ,"Waltham, Massachusetts"                      ,2023-10-02  ,2023           ,  24731577886 ,24.7B
310 ,GPN    ,Global Payments                        ,Financials             ,Transaction & Payment Processing Services               ,"Atlanta, Georgia"                            ,2016-04-25  ,2000           ,  24677570000 ,24.7B
311 ,DOV    ,Dover Corporation                      ,Industrials            ,Industrial Machinery & Supplies & Components            ,"Downers Grove, Illinois"                     ,1985-10-31  ,1955           ,  24362216100 ,24.4B
312 ,RJF    ,Raymond James                          ,Financials             ,Investment Banking & Brokerage                          ,"St. Petersburg, Florida"                     ,2017-03-20  ,1962           ,  24307373790 ,24.3B
313 ,FITB   ,Fifth Third Bank                       ,Financials             ,Diversified Banks                                       ,"Cincinnati, Ohio"                            ,1996-03-29  ,1858           ,  24133107600 ,24.1B
314 ,CAH    ,Cardinal Health                        ,Health Care            ,Health Care Distributors                                ,"Dublin, Ohio"                                ,1997-05-27  ,1971           ,  24115568670 ,24.1B
315 ,WST    ,West Pharmaceutical Services           ,Health Care            ,Health Care Supplies                                    ,"Exton, Pennsylvania"                         ,2020-05-22  ,1923           ,  23904952944 ,23.9B
316 ,KEYS   ,Keysight                               ,Information Technology ,Electronic Equipment & Instruments                      ,"Santa Rosa, California"                      ,2018-11-06  ,2014           ,  23770466410 ,23.8B
317 ,DLTR   ,Dollar Tree                            ,Consumer Staples       ,Consumer Staples Merchandise Retail                     ,"Chesapeake, Virginia"                        ,2011-12-19  ,1986           ,  23566460160 ,23.6B
318 ,DTE    ,DTE Energy                             ,Utilities              ,Multi-Utilities                                         ,"Detroit, Michigan"                           ,1957-03-04  ,1995           ,  23537014380 ,23.5B
319 ,MTB    ,M&T Bank                               ,Financials             ,Regional Banks                                          ,"Buffalo, New York"                           ,2004-02-23  ,1856           ,  23498048820 ,23.5B
320 ,NVR    ,"NVR, Inc."                            ,Consumer Discretionary ,Homebuilding                                            ,"Reston, Virginia"                            ,2019-09-26  ,1980           ,  23476392705 ,23.5B
321 ,PHM    ,PulteGroup                             ,Consumer Discretionary ,Homebuilding                                            ,"Atlanta, Georgia"                            ,1984-04-30  ,1956           ,  23337444900 ,23.3B
322 ,BR     ,Broadridge Financial Solutions         ,Industrials            ,Data Processing & Outsourced Services                   ,"Lake Success, New York"                      ,2018-06-18  ,1962           ,  23242460600 ,23.2B
323 ,ETR    ,Entergy                                ,Utilities              ,Electric Utilities                                      ,"New Orleans, Louisiana"                      ,1957-03-04  ,1913           ,  23096161920 ,23.1B
324 ,ROL    ,"Rollins, Inc."                        ,Industrials            ,Environmental & Facilities Services                     ,"Atlanta, Georgia"                            ,2018-10-01  ,1948           ,  22918605900 ,22.9B
